, "id", "k", "i", "j", "f"
1, 1, 1, 1, 1, 60.0
2, 2, 1, 1, 2, 57.49975
3, 3, 1, 1, 3, 54.99979
4, 4, 1, 1, 4, 52.49998
5, 5, 1, 1, 5, 50.00008
6, 6, 1, 1, 6, 47.50013
7, 7, 1, 1, 7, 45.00013
8, 8, 1, 1, 8, 42.50008
9, 9, 1, 1, 9, 40.00001
10, 10, 1, 1, 10, 37.49995
11, 11, 1, 1, 11, 34.99994
12, 12, 1, 1, 12, 32.49998
13, 13, 1, 1, 13, 30.00009
14, 14, 1, 1, 14, 27.50023
15, 15, 1, 1, 15, 25.00041
16, 16, 1, 1, 16, 22.50039
17, 17, 1, 1, 17, 21.00112
18, 18, 1, 1, 18, 19.50103
19, 19, 1, 1, 19, 18.00114
20, 20, 1, 1, 20, 16.5011
21, 21, 1, 1, 21, 15.00104
22, 22, 1, 1, 22, 13.50095
23, 23, 1, 1, 23, 12.00081
24, 24, 1, 1, 24, 10.50067
25, 25, 1, 1, 25, 9.000545
26, 26, 1, 1, 26, 7.500456
27, 27, 1, 1, 27, 6.000426
28, 28, 1, 1, 28, 4.500473
29, 29, 1, 1, 29, 3.000535
30, 30, 1, 1, 30, 1.500592
31, 31, 1, 1, 31, 0.0
32, 32, 1, 2, 1, 60.0
33, 33, 1, 2, 2, 57.49977
34, 34, 1, 2, 3, 54.99975
35, 35, 1, 2, 4, 52.49992
36, 36, 1, 2, 5, 50.00006
37, 37, 1, 2, 6, 47.50016
38, 38, 1, 2, 7, 45.00022
39, 39, 1, 2, 8, 42.50021
40, 40, 1, 2, 9, 40.00016
41, 41, 1, 2, 10, 37.5001
42, 42, 1, 2, 11, 35.00005
43, 43, 1, 2, 12, 32.50003
44, 44, 1, 2, 13, 30.00008
45, 45, 1, 2, 14, 27.50013
46, 46, 1, 2, 15, 25.00049
47, 47, 1, 2, 16, 22.50039
48, 48, 1, 2, 17, 21.0011
49, 49, 1, 2, 18, 19.5008
50, 50, 1, 2, 19, 18.00097
51, 51, 1, 2, 20, 16.50102
52, 52, 1, 2, 21, 15.00106
53, 53, 1, 2, 22, 13.50108
54, 54, 1, 2, 23, 12.00101
55, 55, 1, 2, 24, 10.50091
56, 56, 1, 2, 25, 9.000793
57, 57, 1, 2, 26, 7.500673
58, 58, 1, 2, 27, 6.000548
59, 59, 1, 2, 28, 4.500456
60, 60, 1, 2, 29, 3.000203
61, 61, 1, 2, 30, 1.50011
62, 62, 1, 2, 31, 0.0
63, 63, 1, 3, 1, 60.0
64, 64, 1, 3, 2, 57.49979
65, 65, 1, 3, 3, 54.99979
66, 66, 1, 3, 4, 52.49994
67, 67, 1, 3, 5, 50.00009
68, 68, 1, 3, 6, 47.50022
69, 69, 1, 3, 7, 45.00032
70, 70, 1, 3, 8, 42.50036
71, 71, 1, 3, 9, 40.00032
72, 72, 1, 3, 10, 37.50024
73, 73, 1, 3, 11, 35.00012
74, 74, 1, 3, 12, 32.49998
75, 75, 1, 3, 13, 30.0001
76, 76, 1, 3, 14, 27.50036
77, 77, 1, 3, 15, 25.00039
78, 78, 1, 3, 16, 22.50039
79, 79, 1, 3, 17, 21.00124
80, 80, 1, 3, 18, 19.50088
81, 81, 1, 3, 19, 18.00101
82, 82, 1, 3, 20, 16.50111
83, 83, 1, 3, 21, 15.00121
84, 84, 1, 3, 22, 13.5013
85, 85, 1, 3, 23, 12.00129
86, 86, 1, 3, 24, 10.50118
87, 87, 1, 3, 25, 9.000999
88, 88, 1, 3, 26, 7.500732
89, 89, 1, 3, 27, 6.000318
90, 90, 1, 3, 28, 4.500144
91, 91, 1, 3, 29, 2.999988
92, 92, 1, 3, 30, 1.500027
93, 93, 1, 3, 31, 0.0
