, "id", "k", "i", "j", "f", "Active"
1, 1, 1, 1, 1, -999.0, 0
2, 2, 1, 1, 2, -999.0, 0
3, 3, 1, 1, 3, -999.0, 0
4, 4, 1, 1, 4, -999.0, 0
5, 5, 1, 1, 5, -999.0, 0
6, 6, 1, 1, 6, -999.0, 0
7, 7, 1, 1, 7, -999.0, 0
8, 8, 1, 1, 8, -999.0, 0
9, 9, 1, 1, 9, -999.0, 0
10, 10, 1, 1, 10, -999.0, 0
11, 11, 1, 1, 11, 0.0, 1
12, 12, 1, 1, 12, 0.0, 1
13, 13, 1, 1, 13, 0.0, 1
14, 14, 1, 1, 14, 0.0, 1
15, 15, 1, 1, 15, 0.0, 1
16, 16, 1, 1, 16, 0.0, 1
17, 17, 1, 1, 17, 0.0, 1
18, 18, 1, 1, 18, 0.0, 1
19, 19, 1, 1, 19, 0.0, 1
20, 20, 1, 1, 20, 0.0, 1
21, 21, 1, 1, 21, 0.0, 1
22, 22, 1, 1, 22, 0.0, 1
23, 23, 1, 1, 23, 0.0, 1
24, 24, 1, 1, 24, 0.0, 1
25, 25, 1, 1, 25, 0.0, 1
26, 26, 1, 1, 26, 0.0, 1
27, 27, 1, 1, 27, 0.0, 1
28, 28, 1, 1, 28, 0.0, 1
29, 29, 1, 1, 29, 0.0, 1
30, 30, 1, 1, 30, 0.0, 1
31, 31, 1, 1, 31, 0.0, 1
32, 32, 1, 1, 32, 0.0, 1
33, 33, 1, 1, 33, 0.0, 1
34, 34, 1, 1, 34, 0.0, 1
35, 35, 1, 1, 35, 0.0, 1
36, 36, 1, 1, 36, 0.0, 1
37, 37, 1, 1, 37, 0.0, 1
38, 38, 1, 1, 38, 0.0, 1
39, 39, 1, 1, 39, 0.0, 1
40, 40, 1, 1, 40, 0.0, 1
41, 41, 1, 1, 41, 0.0, 1
42, 42, 1, 1, 42, 0.0, 1
43, 43, 1, 1, 43, 0.0, 1
44, 44, 1, 1, 44, 0.0, 1
45, 45, 1, 1, 45, 0.0, 1
46, 46, 1, 1, 46, 0.0, 1
47, 47, 1, 1, 47, 0.0, 1
48, 48, 1, 1, 48, 0.0, 1
49, 49, 1, 1, 49, 0.0, 1
50, 50, 1, 1, 50, 0.0, 1
51, 51, 1, 1, 51, 0.0, 1
52, 52, 1, 1, 52, -999.0, 0
53, 53, 1, 1, 53, -999.0, 0
54, 54, 1, 1, 54, -999.0, 0
55, 55, 1, 1, 55, -999.0, 0
56, 56, 1, 1, 56, -999.0, 0
57, 57, 1, 1, 57, -999.0, 0
58, 58, 1, 1, 58, -999.0, 0
59, 59, 1, 1, 59, -999.0, 0
60, 60, 1, 1, 60, -999.0, 0
61, 61, 1, 1, 61, -999.0, 0
62, 62, 1, 2, 1, -999.0, 0
63, 63, 1, 2, 2, -999.0, 0
